date,price
2019-07-16,9653.66
2019-07-17,8396.77
2019-07-18,8643.3
2019-07-19,9450.0
2019-07-20,9390.02
2019-07-21,9602.26
2019-07-22,9444.64
2019-07-23,9222.82
2019-07-24,8838.57
2019-07-25,8770.44
2019-07-26,8881.59
2019-07-27,8854.88
2019-07-28,8521.04
2019-07-29,8574.64
2019-07-30,8538.21
2019-07-31,8585.04
2019-08-01,9097.85
2019-08-02,9377.3
2019-08-03,9469.85
2019-08-04,9731.48
2019-08-05,9858.24
2019-08-06,10486.24
2019-08-07,10219.99
2019-08-08,10652.54
2019-08-09,10708.65
2019-08-10,10582.48
2019-08-11,10090.94
2019-08-12,10306.01
2019-08-13,10156.01
2019-08-14,9725.1
2019-08-15,8998.51
2019-08-16,9287.79
2019-08-17,9349.75
2019-08-18,9211.57
2019-08-19,9319.24
2019-08-20,9862.31
2019-08-21,9700.0
2019-08-22,9134.84
2019-08-23,9132.93
2019-08-24,9343.56
2019-08-25,9108.52
2019-08-26,9122.43
2019-08-27,9338.66
2019-08-28,9185.94
2019-08-29,8787.0
2019-08-30,8586.18
2019-08-31,8732.0
2019-09-01,8737.25
2019-09-02,8898.05
2019-09-03,9475.02
2019-09-04,9685.37
2019-09-05,9585.61
2019-09-06,9589.98
2019-09-07,9360.02
2019-09-08,9511.32
2019-09-09,9449.95
2019-09-10,9343.77
2019-09-11,9139.73
2019-09-12,9234.56
2019-09-13,9444.8
2019-09-14,9350.85
2019-09-15,9352.46
2019-09-16,9300.0
2019-09-17,9332.87
2019-09-18,9217.2
2019-09-19,9214.62
2019-09-20,9304.31
2019-09-21,9239.28
2019-09-22,9067.95
2019-09-23,9124.32
2019-09-24,8821.08
2019-09-25,7815.26
2019-09-26,7724.21
2019-09-27,7377.53
2019-09-28,7495.1
2019-09-29,7526.31
2019-09-30,7380.3
2019-10-01,7637.79
2019-10-02,7643.36
2019-10-03,7649.0
2019-10-04,7520.0
2019-10-05,7429.36
2019-10-06,7428.39
2019-10-07,7168.28
2019-10-08,7489.45
2019-10-09,7479.97
2019-10-10,7833.99
2019-10-11,7815.65
2019-10-12,7500.0
2019-10-13,7539.19
2019-10-14,7527.01
2019-10-15,7579.09
2019-10-16,7400.26
2019-10-17,7228.57
2019-10-18,7269.08
2019-10-19,7129.33
2019-10-20,7125.14
2019-10-21,7386.42
2019-10-22,7377.28
2019-10-23,7219.4
2019-10-24,6726.53
2019-10-25,6700.01
2019-10-26,7810.59
2019-10-27,8313.89
2019-10-28,8580.35
2019-10-29,8300.0
2019-10-30,8493.11
2019-10-31,8220.02
2019-11-01,8221.47
2019-11-02,8298.54
2019-11-03,8342.68
2019-11-04,8253.04
2019-11-05,8463.93
2019-11-06,8420.1
2019-11-07,8448.94
2019-11-08,8328.51
2019-11-09,7970.2
2019-11-10,8003.28
2019-11-11,8198.71
2019-11-12,7910.99
2019-11-13,8003.0
2019-11-14,7967.81
2019-11-15,7839.81
2019-11-16,7662.9
2019-11-17,7683.68
2019-11-18,7699.69
2019-11-19,7390.0
2019-11-20,7333.72
2019-11-21,7293.64
2019-11-22,6896.76
2019-11-23,6628.17
2019-11-24,6663.11
2019-11-25,6290.32
2019-11-26,6481.54
2019-11-27,6510.16
2019-11-28,6848.17
2019-11-29,6762.12
2019-11-30,7047.74
2019-12-01,6874.06
2019-12-02,6734.21
2019-12-03,6600.01
2019-12-04,6592.32
2019-12-05,6497.52
2019-12-06,6668.1
2019-12-07,6832.54
2019-12-08,6792.7
2019-12-09,6809.48
2019-12-10,6638.6
2019-12-11,6522.25
2019-12-12,6475.13
2019-12-13,6433.17
2019-12-14,6521.47
2019-12-15,6366.5
2019-12-16,6397.66
2019-12-17,6179.91
2019-12-18,5946.96
2019-12-19,6559.74
2019-12-20,6430.22
2019-12-21,6492.48
2019-12-22,6456.48
2019-12-23,6780.54
2019-12-24,6602.95
2019-12-25,6550.0
2019-12-26,6492.23
2019-12-27,6489.03
2019-12-28,6493.17
2019-12-29,6547.78
2019-12-30,6614.79
2019-12-31,6473.32
2020-01-01,6405.0
2020-01-02,6410.22
2020-01-03,6220.61
2020-01-04,6572.0
2020-01-05,6590.96
2020-01-06,6596.23
2020-01-07,6935.7
2020-01-08,7326.47
2020-01-09,7240.42
2020-01-10,7047.02
2020-01-11,7369.65
2020-01-12,7216.79
2020-01-13,7359.94
2020-01-14,7290.0
2020-01-15,7949.54
2020-01-16,7906.61
2020-01-17,7829.99
2020-01-18,8028.76
2020-01-19,8040.0
2020-01-20,7860.29
2020-01-21,7782.0
2020-01-22,7878.01
2020-01-23,7826.36
2020-01-24,7601.56
2020-01-25,7652.59
2020-01-26,7568.59
2020-01-27,7798.86
2020-01-28,8074.31
2020-01-29,8510.0
2020-01-30,8433.9
2020-01-31,8622.83
2020-02-01,8410.71
2020-02-02,8454.09
2020-02-03,8412.45
2020-02-04,8402.36
2020-02-05,8299.54
2020-02-06,8741.73
2020-02-07,8900.72
2020-02-08,8964.18
2020-02-09,9060.73
2020-02-10,9283.65
2020-02-11,9038.01
2020-02-12,9419.9
2020-02-13,9532.59
2020-02-14,9458.31
2020-02-15,9577.01
2020-02-16,9159.98
2020-02-17,9149.15
2020-02-18,8984.36
2020-02-19,9447.02
2020-02-20,8900.0
2020-02-21,8911.44
2020-02-22,8951.67
